,Semáforo Riesgo,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto
31,VERDE,LREN3.SA,Yahoo Finance,3.81,46.09,16.85,173.54,Brazil,-1.86,13.92562,1.6450258,0.11495,0.042919997,6.52,33.203,9.194,4.86,0.52,"Lojas Renner S.A., junto con sus subsidiarias, opera como una compañía de moda y estilo de vida en Brasil, Argentina y Uruguay. Opera a través de segmentos minoristas y de productos financieros. La compañía intercambia ropa y productos deportivos, zapatos, accesorios, perfumería, electrodomésticos, toallas y lineros, muebles y artículos de decoración, así como cosméticos. También se involucró en la concesión de préstamos a individuos y entidades legales, financiamiento de compras, seguros y servicios de transacción de crédito y débito a compañías de crédito, financiamiento e inversión, así como proporciona préstamos personales. Ofrece sus productos a través de tiendas, así como canales digitales bajo Renner, YouCom, Camicado, Realy, Ashua, Uello y Repasse Brand. Lojas Renner S.A. se incorporó en 1965 y tiene su sede en Porto Alegre, Brasil."
89,VERDE,NOVN.SW,Yahoo Finance,18.84,99.78,90.1,10.74,Switzerland,0.49,16.793232,4.56212,0.32887,0.11422,7.87,81.322,9.089,3.88,0.53,"Novartis AG participa en la investigación, desarrollo, fabricación, distribución, marketing y venta de medicamentos farmacéuticos en Suiza e internacionalmente. La compañía ofrece Entresto, un inhibidor de la receptorneprilysin de angiotensina para el tratamiento de la insuficiencia cardíaca crónica sintomática con una fracción de eyección reducida (HFREF); Cosintex para tratar la psoriasis de placa, artritis riática de PSO, espondilitis anquilosante y loartritis espondy axial no radiográfica; Kisqali, un inhibidor selectivo dependiente de ciclina oral de las quinasas 4 y 6 (CDK4/6); PromactA/Revolade para tratar la trombocitopenia inmune (ITP), la trombocitopenia y los pacientes con anemia aplásica severa (SAA); Tafinlar+Mekinist, una terapia de combinación oral para tratar pacientes con ciertos tipos de cánceres; y Jakavi para el tratamiento de la mielofibrosis, la polititemia vera y la enfermedad de injerto agudo o crónico (GVHD). También proporciona a Tasigna para tratar la leucemia mieloide crónica crónica crónica de Filadelfia en la fase crónica y/o acelerada; Xolair para el tratamiento del asma alérgica y los pólipos nasales o la nusitis crónica severa con pólipos nasales; Olor para tratar los síndromes de fiebre, la enfermedad de Still y la artritis gota aguda; Pluvicto para tratar el cáncer de próstata castración metastásica de la membrana prostatada específica; Sandostatina SC y sandostatina Lar para tratar tumores carcinoides de acromegalia y otros tipos de tumores neuroendocrinos gastrodentinales y pancreáticos funcionales; Zolgensma para el tratamiento de la causa genética de la atrofia muscular espinal; Lucentis; Leqvio para reducir el colesterol LDL; Lutatero; ScEmblix; y Fabhalta. La compañía se centra en áreas terapéuticas, como cardiovascular, renal y metabólica, inmunología, neurociencia, oncología y hematología. Tiene un acuerdo de licencia y colaboración con Alnylam Pharmaceuticals, Inc. para desarrollar, fabricar y comercializar Leqvio (inclisiran), una terapia para reducir el colesterol LDL. Novartis AG se incorporó en 1996 y tiene su sede en Basilea, Suiza."
119,VERDE,INFY,Yahoo Finance,3.5,24.19,18.38,31.62,India,-1.6,24.276318,6.6944847,0.28893,0.14992,,5.997,16.074,2.81,0.537,"Infosys Limited, junto con sus subsidiarias, proporciona consultoría, tecnología, subcontratación y servicios digitales de próxima generación en América del Norte, Europa, India e internacionalmente. Proporciona marketing digital y lugar de trabajo digital, comercio digital, experiencia e interacciones digitales, metverso, análisis de datos e IA, IA aplicada, IA generativa, sostenibilidad, blockchain, ingeniería, Internet de las cosas, devops ágiles empresariales, modernización de aplicaciones, automatización de procesos digitales, cadena de suministro digital, aplicación comercial de Microsoft y negocios de la nube, experiencia de servicio, transición energética, seguridad cibernética y soluciones de ingeniería de calidad; Oracle, SAP y SaleForce Solutions; API Economía y microservicios; y Topaz, un primer conjunto de servicios, soluciones y plataformas de IA que utilizan tecnologías generativas de IA. Los productos y plataformas de la compañía incluyen Finacle, una solución bancaria central; EDGE SUITE DE PRODUCTOS; Plataforma Panaya, Infosys Equinox, Infosys Helix, Infosys aplicada AI, Infosys Cortex y Stater Digital Platforms; e Infosys McCamish, una plataforma de seguros. Sirve a aeroespacial y defensa, agricultura, automotriz, fabricación de productos químicos, comunicación, productos envasados ​​por el consumidor, educación, adquisición y construcción de ingeniería, atención médica, alta tecnología, fabricación industrial, servicios de información y publicaciones, seguros, ciencias de la vida, logística y distribución, medios de comunicación, entretenimiento, minería, petróleo y gas, capital privado, profesional, profesional, público, minorista, viajes, hospitalidad, industrias de la gestión de residuos y residuos. La compañía fue conocida anteriormente como Infosys Technologies Limited y cambió su nombre a Infosys Limited en junio de 2011. Infosys Limited se incorporó en 1981 y tiene su sede en Bangalore, India."
101,VERDE,PDD,Yahoo Finance,17.15,202.82,119.45,69.79,Ireland,0.63,11.32381,0.5283083,0.44924,0.15886,61.12,3.385,3.275,,0.562,"PDD Holdings Inc., un grupo de comercio multinacional, posee y opera una cartera de empresas. Opera la plataforma Pinduoduo que proporciona varias categorías de productos, incluidos productos agrícolas, ropa, zapatos, bolsas, productos de cuidado de la madre y niños, alimentos y bebidas, electrónica de consumo, electrodomésticos, muebles y artículos para el hogar, cosméticos y otros artículos de cuidado personal, deportes y accesorios y accesorios automáticos; y Temu, una plataforma en línea, que permite a los comerciantes racionalizar su fabricación y operaciones. La compañía fue conocida anteriormente como Pinduoduo Inc. y cambió su nombre a PDD Holdings Inc. en febrero de 2023. PDD Holdings Inc. se incorporó en 2015 y tiene su sede en Dublín, Irlanda."
44,VERDE,COPEC.SN,Yahoo Finance,4098.92,10462.81,6600,58.53,Chile,,,654.1322,0.087110005,0.037019998,0.01,75.593,3337.822,4.85,0.567,"Empresas Copec S.A., junto con sus subsidiarias, opera en los sectores de recursos naturales y energía en Chile e internacionalmente. Opera a través de Celulosa Arauco y Constitución S.A.; Copec S.A.; Abastible S.A.; Pesquera Iquique-Guanaye S.A.; y Segmentos de la Sociedad de Oleoductos Nacional S.A. La compañía ofrece servicios de carga eléctrica, energía renovable y soluciones de almacenamiento y eficiencia de energía; y opera estaciones de servicio y tiendas de conveniencia. También distribuye combustibles líquidos, lubricantes, gas licuado y gas natural; produce y vende pulpas de kraft, paneles y maderas aserradas para las industrias de papel, construcción, empaque y muebles; transporta gasolina, queroseno y diesel, y gas licuado de petróleo; y produce harina de pescado, aceite de pescado y mejillones enlatados y congelados. Además, la compañía se involucra en los negocios forestales, de pesca y minería; venta de frijoles, arroz, garbanzos y lentejas bajo la marca San José; distribución de productos de General Mills y peras de aguacate procesadas; inversión en electromobilidad y nuevas empresas que involucran energía, movilidad, conveniencia y otros proyectos; y generación y distribución de electricidad de energías renovables. Exporta sus productos a Asia y América. La compañía se incorporó en 1934 y tiene su sede en Santiago, Chile. Empresas Copec S.A. es una subsidiaria de Antarchile S.A."
8,VERDE,EDN,Yahoo Finance,1.71,62.55,35.81,74.67,Argentina,0.28,9.096447,0.020824885,0.19865999,0.00778,-23658.52,31.609,0.507,,0.57,"Empresa Distribuidora y Comercializadora Norte Sociedad Anónima engages in the distribution and sale of electricity in Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima was formerly known as Empresa Distribuidora Norte Sociedad Anónima and changed its name to Empresa Distribuidora y Comercializadora Norte Sociedad Anónima in January 1997. The company was founded in 1992 and is based in Buenos Aires, Argentina. Empresa Distribuidora y Comercializadora Norte Sociedad Anónima operates as a subsidiary of Empresa de Energía del Cono Sur S.A."
70,VERDE,UNH,Yahoo Finance,22.28,620.21,311.38,99.18,United States,,13.047617,2.9833977,0.22700001,0.07044,7.11,77.277,9.371,2.7,0.571,"UnitedHealth Group Incorporated opera como una compañía de atención médica en los Estados Unidos e internacionalmente. La compañía opera a través de cuatro segmentos: UnitedHealthcare, Optum Health, Optum Insight y Optum RX. El segmento UnitedHealthcare ofrece planes y servicios de beneficios de salud orientados al consumidor para empleadores nacionales, empleadores del sector público, empleadores medianos, pequeñas empresas e individuos; cobertura de atención médica y servicios de salud y bienestar para personas mayores de 50 años; Planes de Medicaid, seguros de salud para niños y programas de atención médica; y la atención médica beneficia a los productos y servicios a los programas estatales que atienden a los económicamente desfavorecidos, médicamente desatendidos y aquellos sin el beneficio de la cobertura de atención médica financiada por el empleador. El segmento Optum Health brinda prestación de atención, gestión de atención, bienestar y participación del consumidor, y servicios financieros de salud, consumidores, sistemas de prestación de atención, proveedores, empleadores, pagadores y entidades del sector público. El segmento Optum Insight ofrece productos e información de software, acuerdos de consultoría de asesoramiento y servicios administrados que subcontratan los contratos a sistemas hospitalarios, médicos, planes de salud, gobiernos, empresas de ciencias de la vida y otras organizaciones. El segmento Optum RX brinda servicios y programas de atención de farmacia, que incluyen contratación de redes minoristas, entrega a domicilio, servicios de farmacia de salud especializada y comunitaria, infusión y capacidades de compra y clínica, así como también desarrolla programas en las áreas de terapia de terapia, manejo formulario, adherencia a los medicamentos y enfermedades y manejo de la terapia de drogas. UnitedHealth Group Incorporated se fundó en 1974 y tiene su sede en Eden Prairie, Minnesota."
100,VERDE,JD,Yahoo Finance,17.49,96.98,37.25,160.36,China,0.18,9.622642,0.21961933,0.16283001,0.04142,14.55,28.325,1.464,2.68,0.575,"JD.com, Inc. opera como un proveedor de tecnología y servicios basado en la cadena de suministro en la República Popular de China. Opera a través de tres segmentos: JD Retail, JD Logistics y New Business. La compañía ofrece computadoras, comunicación y productos electrónicos de consumo, así como electrodomésticos; y productos generales de mercancías que comprenden alimentos, bebidas y productos frescos, productos para bebés y maternidad, muebles y artículos para el hogar, cosméticos y otros artículos de cuidado personal, productos farmacéuticos y de atención médica, productos industriales, libros, accesorios para automóviles, ropa y calzado, bolsas y joyas. También proporciona servicios de mercado en línea para comerciantes de terceros; servicios de marketing; y soluciones omnicanal a clientes y minoristas fuera de línea, así como servicios de salud en línea. Además, la compañía desarrolla, posee y administra sus instalaciones de logística y otras propiedades inmobiliarias para apoyar a terceros; y ofrece servicios de gestión de activos y plataforma de servicio integrado; Arrendamiento de instalaciones de almacenamiento y servicios de gestión relacionados, así como participar en negocios minoristas en línea. Además, proporciona soluciones de cadena de suministro y servicios de logística basados ​​en tecnología. La compañía fue conocida anteriormente como 360Buy Jingdong Inc. y cambió su nombre a JD.com, Inc. en enero de 2014. JD.com, Inc. se incorporó en 2006 y tiene su sede en Beijing, la República Popular de China."
15,VERDE,COME.BA,Yahoo Finance,0.1,290.98,159.5,82.43,Argentina,,8.255049,1.211242,0.14758,-0.00784,-1.08,4.993,27.736,0.44,0.583,"La Sociedad Comercial Del Plata S.A. opera en construcción, energía, agronegocios, transporte e infraestructura, y sectores inmobiliarios en Argentina e internacionalmente. Funciona a través de la construcción; Aceite; y segmentos de agronegocios. La compañía proporciona materiales de construcción, como ladrillos de cerámica huecos, revestimientos de piso y pared, cerámica, baldosas de porcelana y gafas procesadas debajo de las marcas Cerro Negro, LOSA, Cormela y Superglass. También explora, hazaña, refina, mercados, distribuye y almacena hidrocarburos y sus derivados; produce, mercados, distribuye y almacena combustible, lubricantes y otros derivados de petróleo; proporciona servicios posteriores; y desarrolla, explora y produce gas y petróleo de petróleo licuado. Además, la compañía ofrece servicios de carga ferroviaria para el transporte de granos y sus subproductos desde las pampas húmedas hasta el puerto; invierte en valores propios; y está involucrado en actividades forestales. Además, desarrolla y opera bienes raíces; y produce harina de trigo, migas de pan y masas, premezclas para pasteles de esponja, puré de papas, polenta, aceite de oliva, aceite de girasol, vinagre balsámico, aceitunas enlatadas, harina de maíz blanca precocida, avena, pasta seca, biscuitas y legumbres bajo la marca de la morixe, así como la marca prefabricada bajo las papas de rapiPap. La Sociedad Comercial Del Plata S.A. se incorporó en 1927 y tiene su sede en Buenos Aires, Argentina."
116,VERDE,QFIN,Yahoo Finance,5.46,47.23,46.05,2.57,China,0.11,8,0.26766217,0.27015,0.106529996,43.23,6.815,0.84,2.82,0.587,"QIFU Technology, Inc., junto con sus subsidiarias, operan la plataforma de tecnología crediticia con Empoderada AI-AI bajo la marca QIFU Jietiao en la República Popular de China. La Compañía proporciona servicios basados ​​en crédito que coinciden con los prestatarios con instituciones financieras para llevar a cabo adquisición de prestatario, evaluación de crédito, coincidencia de fondos y servicios posteriores a la facilitación; y servicios de plataforma, incluidos los servicios de facilitación de préstamos y post-facilitación a socios de instituciones financieras bajo un motor de crédito de inteligencia, servicios de referencia y otras soluciones tecnológicas. Sirve a instituciones financieras, consumidores y pequeñas y microempresas. La compañía fue conocida anteriormente como 360 Digitech, Inc. y cambió su nombre a Qifu Technology, Inc. en marzo de 2023. Qifu Technology, Inc. se fundó en 2016 y tiene su sede en Shanghai, la República Popular de China."
103,VERDE,TCEHY,Yahoo Finance,2.9,91.96,65.61,40.15,China,0.27,24.155478,0.64128786,0.20385,0.077410005,21.13,33.98,3.018,0.88,0.587,"Tencent Holdings Limited, una compañía tenedora de inversión, ofrece servicios de valor agregado (VAS), publicidad en línea, FinTech y servicios comerciales en la República Popular de China e internacionalmente. Opera a través de VAS, publicidad en línea, FinTech y Servicios comerciales, y otros segmentos. El negocio de los consumidores de la compañía proporciona comunicación y servicios, como mensajes instantáneos y redes sociales; Contenido digital que incluye juegos en línea, videos, transmisión en vivo, noticias, música y literatura; FinTech Services, que incluye pago móvil, gestión de patrimonio, préstamos y comercio de valores; y varias herramientas, como la gestión de seguridad de red, el navegador, la navegación, la gestión de aplicaciones, el correo electrónico, etc. Su negocio empresarial comprende soluciones de marketing, que ofrece herramientas digitales que incluyen información del usuario, gestión creativa, estrategia de ubicación y gestión de activos digitales; y servicios en la nube, como computación en la nube, análisis de big data, inteligencia artificial, Internet de las cosas, seguridad y otras tecnologías para servicios financieros, educación, atención médica, minorista, industria, transporte, energía y aplicaciones de radio y televisión. Además, la compañía opera negocios de innovación, que incluye inteligencias artificiales, como robótica y computación cuántica; y descubrir y desarrollar tecnologías empresariales y de próxima generación para la producción de alimentos, la creación de energía y la aplicación de gestión del agua. Tencent Holdings Limited fue conocido anteriormente como Tencent (BVI) Limited y cambió su nombre a Tencent Holding Limited en febrero de 2004. La compañía fue fundada en 1998 y tiene su sede en Shenzhen, la República Popular de China."
42,VERDE,CENCOSUD.SN,Yahoo Finance,457.18,3348,3320,0.84,Chile,,32.59577,2.0490572,0.07092,0.04518,3.7,107.839,11.742,0.44,0.6,"Cencosud S.A., junto con sus subsidiarias, opera como minorista en América Latina. Opera supermercados, grandes almacenes, tiendas de mejoras para el hogar y centros comerciales, así como proporciona servicios financieros. La compañía fue fundada en 1963 y tiene su sede en Las Condes, Chile."
122,VERDE,HDFCBANK.NS,Yahoo Finance,139.6,1961.7,1922.6,2.03,India,2.99,20.659601,2.8006942,0.14573,0.017439999,,,,1.14,0.612,"HDFC Bank Limited se dedica a la provisión de servicios bancarios y financieros a individuos y empresas en India, Bahrein, Hong Kong, Singapur y Dubai. La compañía opera en tres segmentos: tesorería, banca minorista, banca mayorista y otros servicios bancarios. Acepta ahorros, salarios, actuales, rurales, fondos de previsión pública, pensiones y cuentas de demat; depósitos fijos y recurrentes; y casilleros de depósito seguro, así como cuentas y depósitos en alta mar, y sobregiros contra depósitos fijos. La compañía también ofrece préstamos personales, de hogar, automóvil, de dos ruedas, de negocios, médico, educativo, de oro, consumidor y rural; préstamos contra propiedades, valores, fondos mutuos, cuentas por cobrar de alquiler y activos; préstamos para profesionales; programas patrocinados por el gobierno; y préstamos en tarjeta de crédito, así como capital de trabajo y financiamiento comercial/de equipos de construcción, equipos médicos/de atención médica y financiamiento comercial de vehículos, finanzas de concesionarios y préstamos a plazo. Además, ofrece tarjetas de crédito, débito, prepago y divisas; pago y recaudación, exportación, importación, remesas, garantía bancaria, carta de crédito, comercio, cobertura y servicios de gestión de comerciantes y efectivo; Productos de seguros e inversión. Además, la Compañía proporciona financiamiento a corto plazo, descuento de facturas, finanzas estructuradas, crédito de exportación, reembolso de préstamos y servicios de recaudación de documentos; Servicios de banca en línea y mayorista, móvil y telefónica; interfaz de pago unificada, pago inmediato, transferencia nacional de fondos electrónicos y servicios de liquidación bruta en tiempo real; y financiamiento de canales, financiamiento de proveedores, cuenta de reembolso, mercado monetario, derivados, fideicomisos de empleados, excedentes en efectivo, pago de impuestos y banqueros a los servicios de derechos/problemas públicos, así como soluciones financieras para socios de la cadena de suministro y clientes agrícolas. Opera sucursales y cajeros automáticos en varias ciudades/pueblos. La compañía fue incorporada en 1994 y tiene su sede en Mumbai, India."
35,VERDE,CYRE3.SA,Yahoo Finance,4.45,26.43,25.17,4.99,Brazil,0.05,5.5,1.0199035,0.20825,0.04256,-11.22,61.349,9.778,4.25,0.633,"Cyrela Brasil Realty S.A. Empreendimentos E Participações desarrolla y construye propiedades residenciales en Brasil. También proporciona servicios inmobiliarios, como gestión de la construcción y servicios de consultoría técnica. La compañía fue fundada en 1962 y tiene su sede en São Paulo, Brasil."
54,VERDE,SALFACORP.SN,Yahoo Finance,188.31,1181.41,689.9,71.24,Chile,-2.94,8.820146,0.7353529,0.08623,0.02757,13.21,107.463,12.201,3.4,0.642,"Salfacorp S.A. se involucra en empresas de ingeniería, construcción y bienes raíces en Chile e internacionalmente. La compañía ofrece la construcción e ensamblaje industrial, la construcción de obras civiles, mantenimiento industrial, desarrollo minero, obras marinas, tierras de tierra y servicios de perforación y explosión, así como para llevar a cabo proyectos de ingeniería, adquisiciones y construcción. También participa en actividades inmobiliarias, comerciales e infraestructuras; y desarrollo y alquiler de proyectos comerciales e industriales. La compañía fue fundada en 1929 y tiene su sede en Santiago, Chile."
51,VERDE,RIPLEY.SN,Yahoo Finance,96.71,513.11,472.5,8.6,Chile,0.09,17.439026,0.89354473,0.05389,0.0152900005,16.38,206.459,25.1,1.32,0.649,"Ripley Corp S.A. se involucra en la venta minorista de ropa, accesorios y productos para el hogar a través de grandes almacenes y comercio electrónico en Chile y Perú. Las categorías de productos de la compañía incluyen productos de belleza, productos tecnológicos, zapatos y zapatillas, accesorios y complementos, productos automotrices y de decoración, productos deportivos y de aventura, productos y productos electro, productos de hardware y mascotas, productos de juguetes y niños, productos de salud y bienestar, moda masculina, moda de mujeres, moda para niños, muebles y otros productos, así como piezas de repuesto automotriz. También participa en el negocio bancario a través de la administración de Ripley Bank que se centra principalmente en el sector del consumidor; y el negocio inmobiliario, incluida la propiedad de los centros comerciales. La compañía fue fundada en 1956 y tiene su sede en Santiago, Chile."
117,VERDE,HCM,Yahoo Finance,7.65,42.94,13.14,226.79,Hong Kong,,66.5,14.96063,0.050380003,-0.021389998,-2.06,11.637,-334.656,,0.684,"Hutchmed (China) Limited, junto con sus subsidiarias, descubre, desarrolla y comercializa la terapia e inmunoterapias específicas para tratar el cáncer y las enfermedades inmunológicas en Hong Kong, los Estados Unidos e internacionalmente. La compañía ofrece fruquintinib, un inhibidor oral selectivo y potente de los receptores del factor de crecimiento endotelial vascular para el tratamiento del cáncer colorrectal (CCR), el cáncer de mama, el cáncer gástrico (GC), el cáncer de endometría de microsatélites estables-CRC (EMC), el cáncer de cáncer no-Small (CANCER DE CELIL CELILC), CANCINO RENAL CELUCS (RCC) (RCC), EMC (EMC), Cáncer de células EMC (NSCLC), RCC) (RCC) (RCC) (RCC), Cáncer de células EMC), RCC) (RCC) (RCC) (RCC) (RCC), Cáncer ANDOM; y Savolitinib, un inhibidor potente y selectivo del receptor de transición mesenquimatosa-epitelial para tratar NSCLC, RCC papilar y GC. También desarrolla surufatinib para trea tumor neuroendocrino pancreático (neto), neta no pancreática y adenocarcinoma ductal pancreático; Sovleplenib, para tratar la púrpura trombocitopénica inmune y la cálida anemia hemolítica autoinmune; y Tazemetostat, un tratamiento para el sarcoma epitelioide y el linfoma folicular; Fanregratinib que trata el colangiocarcinoma intrahepático; y ranosidenib, un nuevo inhibidor de doble inhibidor de enzimas de deshidrogenasa-1 e isocitrato deshidrogenasa-2 para tratar la leucemia mieloide aguda (AML). Además, la compañía está desarrollando HMPL-760, que se encuentra en el ensayo clínico de fase I y II para tratar el linfoma de células B grandes y refractarias de células B, y otros B-NHL; HMPL-506 para tratar la leucemia de linga mixta-refugio/reordenamiento y nucleófosmina 1-mutantaml. Tiene acuerdos de colaboración con AstraZeneca AB (Publ), Lilly (Shanghai) Company Limited, Takeda, Beigene Ltd., InMagene BioPharmaceuticals Co. Ltd., Innovent Biologics Co., Inc. y Epizyme, Inc. y Epizyme, Inc. La compañía fue conocida anteriormente como Hutchison China Medit y cambió su nombre Limited (May Limited (Cambio de su nombre). 2021. Hutchmed (China) Limited se incorporó en 2000 y tiene su sede en Hong Kong, Hong Kong."
74,VERDE,WMT,Yahoo Finance,11.65,104.51,95.88,9,United States,-9.17,40.338173,8.570483,0.21414,0.07124,1.01,63.58,19.62,0.98,0.699,"Walmart Inc. se dedica a la operación de tiendas y clubes minoristas y mayoristas, sitios web de comercio electrónico y aplicaciones móviles en todo el mundo. La compañía opera a través de tres segmentos: Walmart U.S., Walmart International y Sam's Club. Opera supercentros, supermercados, clubes de almacén, tiendas de efectivo y transporte, y tiendas de descuento bajo las marcas de Walmart y Walmart Neighborhood Market; Clubes de almacén de membresía solo; y sitios web de comercio electrónico, como walmart.com.mx, walmart.ca, flipkart.com, phonepe y otros sitios. La compañía también ofrece artículos de comestibles, que incluyen comestibles secos, bocadillos, lácteos, carne, productos, delicatessen y panadería, alimentos congelados, bebidas alcohólicas y no alcohólicas, así como consumibles, como ayudas de salud y belleza, suministros de mascotas, productos químicos para el hogar, productos de papel y productos para bebés; y combustible y otras categorías. Además, participa en la provisión de productos de salud y bienestar que cubren la farmacia, los servicios ópticos y auditivos, los medicamentos de venta libre y los productos de proteínas y nutricionales; y hogar, líneas duras y artículos de temporada, que incluyen mejoras en el hogar, vida al aire libre, jardinería, muebles, ropa, joyas, herramientas y equipos de energía, artículos para el hogar, juguetes y colchones. Además, la compañía ofrece electrónica y accesorios de consumo, software, videojuegos, suministros de oficina, electrodomésticos y tarjetas de regalo de terceros. Además, opera plataformas de pago digital; Ofrece servicios financieros y productos relacionados, que incluyen transferencias de dinero, pagos de facturas, pedidos de dinero, cobro de cheques, acceso prepago, tarjetas de crédito de marca compartida, préstamos a plazos y acceso salarial ganado; y comercializa líneas de mercancías bajo marcas privadas y con licencia. La compañía fue conocida anteriormente como Wal-Mart Stores, Inc. y cambió su nombre a Walmart Inc. en febrero de 2018. Walmart Inc. fue fundada en 1945 y se basa en Bentonville, Arkansas."
1,VERDE,YPF,Yahoo Finance,2.57,46.99,35.91,30.85,Argentina,,8.434732,0.0011852516,0.21733,0.03954,-7492.55,81.869,2.231,,0.71,"YPF Sociedad Anónima, una compañía energética, se involucra en las actividades de petróleo y gas aguas arriba y aguas abajo en Argentina. Sus operaciones aguas arriba incluyen la exploración, explotación y producción de petróleo crudo y gas natural. Las operaciones posteriores de la compañía incluyen producción petroquímica y refinación de petróleo crudo; transporte y distribución de productos refinados y petroquímicos; Comercialización de petróleo crudo, productos petroquímicos y especialidades. Sus operaciones de gas y energía incluyen transporte, comercialización y distribución de gas natural; Operación comercial y técnica de terminales de regasificación; transporte, acondicionamiento, procesamiento y separación de gas natural; y generación de energía. La compañía tenía intereses en los campos de petróleo y gas. También tenía una red de distribución minorista y estaciones de servicio minorista. Además, la compañía posee y opera refinerías, así como mantiene las instalaciones terminales de los puertos argentinos. Además, participa en plantas de generación de energía; ofrece diesel, fertilizantes, lubricantes, productos fitosanitarios y bolsas de ascendencias; y suministros diesel, gasolina, combustible, carbón, asfaltos, parafina y azufre, CO2, aceite decantado y extracto aromático. La compañía se incorporó en 1977 y tiene su sede en Buenos Aires, Argentina."
132,VERDE,WIPRO.NS,Yahoo Finance,53.81,349.94,251.57,39.1,India,0.78,20.186752,3.2147124,0.16763,0.07693,4.47,23.124,12.952,2.39,0.723,"Wipro Limited opera como una empresa de tecnología de la información (TI), consultoría y empresa de servicios de procesos comerciales en todo el mundo. Opera a través de Servicios de TI y segmentos de productos de TI. El segmento de Servicios de TI ofrece servicios de TI y TI, incluidos el asesoramiento de estrategia digital, el diseño centrado en el cliente, la tecnología y la consultoría de TI, el diseño de aplicaciones personalizadas, el desarrollo, la reingeniería y el mantenimiento, la integración de sistemas, la implementación de paquetes, la nube e infraestructura, el proceso comercial, la nube, la movilidad y el análisis, la investigación y el desarrollo, y los servicios de diseño de hardware y software a las empresas. Sirve a los clientes en diversos sectores de la industria, como comunicaciones, conectividad y servicios minoristas, bienes de consumo, atención médica, productos y plataformas tecnológicas, servicios bancarios y financieros, energía, fabricación y recursos, mercados de capitales y seguros, y alta tecnología. El segmento de productos de TI proporciona una gama de productos de TI de terceros que comprenden plataformas empresariales, soluciones de redes, productos de almacenamiento de software y datos, infraestructura central de contacto, seguridad empresarial, tecnologías de optimización de TI, soluciones de video y soluciones informáticas de usuario final. Sirve a las empresas en diversas industrias principalmente en el mercado indio, que comprenden los servicios del gobierno, la defensa, la TI y la TI, las telecomunicaciones, la fabricación, los servicios públicos, la educación y los sectores de servicios financieros. La compañía se incorporó en 1945 y tiene su sede en Bangalore, India."
131,VERDE,BAJFINANCE.NS,Yahoo Finance,25.29,9310.33,9042,2.97,India,1.98,33.814934,5.8148284,0.19108,0.03986,,292.998,,0.49,0.743,"Bajaj Finance Limited opera como una compañía financiera que no toma depósitos en India. La compañía ofrece productos financieros de consumo que comprenden productos duraderos, de estilo de vida y digitales; Tarjetas EMI; Dos y tres ruedas, y préstamos personales; préstamos contra depósito fijo; préstamos para el hogar y el oro; y garantías extendidas, EMI minoristas, electrónica de consumo, muebles, comercio electrónico y tarjetas de crédito y billeteras de marca compartida. También proporciona préstamos asegurados y no garantizados a micro, pequeñas y medianas empresas (MIPYME) y PYME; préstamos contra propiedades, fondos mutuos, pólizas de seguro y acciones; Descuento de alquiler de arrendamiento, préstamos comerciales y profesionales, préstamos de capital de trabajo y préstamos térmicos; finanzas de desarrollador; y financiamiento nuevo y usado de automóviles y tractores. Además, la compañía ofrece préstamos comerciales y rurales; depósitos públicos y corporativos; préstamos contra valores; y varios servicios de inversión, incluidos servicios de demat, corretaje y financiamiento comercial de margen. Además, distribuye productos de seguros de vida, salud y general. La compañía fue conocida anteriormente como Bajaj Auto Finance Limited y cambió su nombre a Bajaj Finance Limited en septiembre de 2010. La compañía se incorporó en 1987 y tiene su sede en Pune, India. Bajaj Finance Limited es una subsidiaria de Bajaj Finserv Ltd."
